These,Best_Policy_Category,SPD_Model_Prediction,CDU/CSU_Model_Prediction,GRÜNE_Model_Prediction,FDP_Model_Prediction,AfD_Model_Prediction,Die Linke_Model_Prediction
Alle Beschäftigten sollen bereits nach 40 Beitragsjahren ohne Abschläge in Rente gehen können.,504 - Welfare State Expansion,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu
Alle Bürgerinnen und Bürger sollen in gesetzlichen Krankenkassen versichert sein müssen.,504 - Welfare State Expansion,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu
An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.,605 - Law and Order: Positive,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu
Asylsuchende sollen in Deutschland sofort nach ihrer Antragstellung eine Arbeitserlaubnis erhalten.,705 - Underprivileged Minority Groups,neutral,neutral,neutral,neutral,neutral,stimme zu
"Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.",601 - National Way of Life: Positive,neutral,stimme zu,neutral,stimme zu,stimme zu,neutral
Auf allen Autobahnen soll ein generelles Tempolimit gelten.,411 - Technology and Infrastructure,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu
Aus Deutschland sollen weiterhin Rüstungsgüter nach Israel exportiert werden dürfen.,105 - Military: Negative,neutral,neutral,stimme zu,neutral,neutral,neutral
Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.,412 - Controlled Economy,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme zu
Bei der Besteuerung von Einkommen soll der Spitzensteuersatz angehoben werden.,503 - Equality: Positive,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu
Beim Ausbau der Verkehrsinfrastruktur soll die Schiene Vorrang vor der Straße haben.,411 - Technology and Infrastructure,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu
"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",505 - Welfare State Limitation,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme zu,stimme nicht zu
Das Streikrecht für Beschäftigte in Unternehmen der kritischen Infrastruktur soll gesetzlich eingeschränkt werden.,701 - Labour Groups: Positive,stimme zu,stimme zu,stimme zu,stimme zu,neutral,stimme zu
Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.,501 - Environmental Protection: Positive,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu
Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.,606 - Civic Mindedness: Positive,neutral,stimme zu,stimme zu,stimme zu,neutral,neutral
Der Bund soll mehr Kompetenzen in der Schulpolitik erhalten.,302 - Centralisation,neutral,neutral,neutral,stimme zu,neutral,neutral
Der Euro soll in Deutschland durch eine nationale Währung ersetzt werden.,110 - European Community/Union: Negative,neutral,neutral,neutral,stimme zu,stimme zu,neutral
Der gesetzliche Mindestlohn soll spätestens 2026 auf 15 Euro erhöht werden.,412 - Controlled Economy,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme zu
